time [s],concentration of A [mol/m3],concentration of B [mol/m3],concentration of R [mol/m3],concentration of S [mol/m3],concentration of T [mol/m3],rate of reaction of A [mol/m3·s],rate of reaction of B [mol/m3·s],rate of reaction of R [mol/m3·s],rate of reaction of S [mol/m3·s],rate of reaction of T [mol/m3·s],reactor temperature [K],jacket temperature [K],reactor setpoint temperature,volume of reaction mixture [m3],viscosity of the reaction mixture [Pa·s],shaft power of the impeller [W],heat released by reaction [W],cumulative_heat_released [J],heat removed by cooling water [W],cumulative heat removed by cooling water [J],conversion [-],cooling water flowrate [m3/s],stage
1000.0,9.519442866554193,-5.707147695347256,4.4394648883892565,1.6212708743305968,-9.530624150016205,0.0,0.0,0.0,0.0,0.0,296.8359149503641,284.9779226178675,273,0.29999999999999993,0.9830229646573865,3297.250438323852,0.0,0.0,0.0,0.0,81.72219678942301,3.784750903972521e-07,0
1050.0,4.720669931122376,3.806419430160466,-4.31428704006403,2.9933053102083225,2.036391917409166,0.0,0.0,0.0,0.0,0.0,300.03882107187934,288.7403026007593,273,0.3149999999999999,1.199318725210411,3356.287972162552,0.0,0.0,0.0,0.0,41.02995264531777,9.936496425263676e-07,0
1100.0,-3.590278089197633,-3.6605533283901863,-0.774027577421707,4.3163774495970495,4.384855898531338,0.0,0.0,0.0,0.0,0.0,294.56706593399883,290.1563533361787,273,0.33,0.9985738727038127,3301.813613958557,0.0,0.0,-0.0,0.0,-29.4445479118539,-2.399601486573249e-07,0
1150.0,8.091752608039906,2.220559189740828,4.096569360502181,-1.7908478002953876,-1.8415577009974229,0.0,0.0,0.0,0.0,0.0,298.44333156366685,286.3766698279144,273,0.3450000000000001,0.9479561460910041,3286.7449698860787,0.0,0.0,-0.0,0.0,69.61578514142192,-1.0401355330376104e-06,0
1200.0,-3.0836984448101585,-8.9022286372002,10.993820315827417,-1.084695993931804,0.6698080508904545,0.0,0.0,0.0,0.0,0.0,301.7752909296702,288.796003024756,273,0.3600000000000001,1.151811924326578,3344.05771536929,0.0,0.0,-0.0,0.0,-25.148895076178693,-3.199734795714425e-07,0
1250.0,10.900344229500615,-9.774980127310736,2.444169570162324,9.393014962400724,-2.3485569168984104,0.0,0.0,0.0,0.0,0.0,299.36897491387595,289.5179850987548,273,0.3750000000000001,0.9383684652580303,3283.8182204677087,0.0,0.0,-0.0,0.0,93.43185176914692,-6.820342129650369e-07,0
1300.0,1.9269293424488398,1.588632434118544,5.875068609594248,-2.4812860510901964,-0.9659764999825583,0.0,0.0,0.0,0.0,0.0,300.0994635180815,281.87288788781626,273,0.39000000000000007,1.064486899839881,3320.5556106492545,0.0,0.0,-0.0,0.0,17.339818596628923,-4.13458489636866e-07,0
1350.0,-0.30420209404488824,-3.5401124469381022,-11.837407263409098,-4.239573449790629,-0.755324097851404,0.0,0.0,0.0,0.0,0.0,297.98393436524606,287.5366846210888,273,0.4050000000000001,0.8995829073853236,3271.724051951087,0.0,0.0,-0.0,0.0,-1.5795481567015972,-5.708478548189532e-07,0
1400.0,-7.467178300287056,6.912667023715423,-0.7618545355510589,0.8071557605532221,2.709677765601495,0.0,0.0,0.0,0.0,0.0,298.0459595667911,290.56194591836936,273,0.4200000000000001,0.9968000007130148,3301.295960713607,0.0,0.0,-0.0,0.0,-62.31957076345877,-7.398739457239932e-08,0
1450.0,-6.365450644636777,1.197341401311994,-9.918172352207883,-6.600633752087167,6.578792901109621,0.0,0.0,0.0,0.0,0.0,299.6066926458095,288.55427877622645,273,0.4350000000000001,0.8638350042323715,3260.190613318812,0.0,0.0,-0.0,0.0,-52.97723026365771,-1.5223085683845758e-06,0
1500.0,-1.0293656185207931,-1.2295377430782088,-2.9283039881104864,1.5495470947611878,2.636754368675303,0.0,0.0,0.0,0.0,0.0,296.27538086953246,286.25467135111086,273,0.45000000000000007,1.148650038332147,3343.2305767821495,0.0,0.0,-0.0,0.0,-7.728730787222964,-3.624961028624754e-07,0
1550.0,-4.881104137588136,1.6535873426887404,-2.319631835005289,2.040150065411984,0.9049351472584866,0.0,0.0,0.0,0.0,0.0,298.54804324453755,285.50559038542025,273,0.4650000000000001,1.0010600781670267,3302.5379170286315,0.0,0.0,-0.0,0.0,-40.39038957084258,-6.679746094602364e-07,0
1600.0,7.873385963978343,1.3858834085876912,-1.5079769057671875,-2.187872129256882,-3.9265636819711536,0.0,0.0,0.0,0.0,0.0,299.61922220532574,286.5380521654494,273,0.4800000000000001,1.2211847309777077,3361.7983769118578,0.0,0.0,-0.0,0.0,67.7640974469546,-1.4570855230509392e-06,0
